Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,15p,C1644
"C10, C12, C18, C25, C4, C5, C6, C9",0805,8,10u,C15850
"C11, C13, C14, C15, C16, C17, C19, C26, C3, C8",0603,10,100n,C2762593
"C21, C22, C23, C24, C7",0603,5,10n,C85973
"D1, D10, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-882,11,H5VL10B,C7420372
D11,LED_RGB_TUOZHAN_P4-1204RGBWS2-1.5T-A_Horizontal,1,LED_STATUS,C2827295
D13,LED_Green_MEIHUA_MHS110UGCT_Horizontal,1,LED_PGOOD,C404269
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,CON_SWD,C41376037
"J10, J8, J9",Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal_Custom,3,PJ-320D-4A,C95562
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12_Custom3D,1,TYPE-C-31-M-12,C165948
J5,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,CON_BAT,C177225
J6,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,CON_EXT,C133065
L1,1008,1,2u2,C2043106
LS1,Buzzer_FUET_FST-9018_9x9mm,1,FUET-9018,C391035
Q1,SOT-23-3,1,HL2312,C28646272
"R1, R2, R21, R30, R5, R6",0603,6,10k,
"R10, R13, R14, R16, R17, R18, R53, R9",0603,8,22R,
"R11, R12, R41, R44, R45, R49, R7, R8",0603,8,100R,
"R19, R20",0603,2,5k1,
R22,0603,1,4M02,C322160
R23,0603,1,10M,
"R25, R43",0603,2,100k,
"R26, R36, R37, R38, R39",0603,5,0R,
R27,0603,1,4k3,
R28,0603,1,267k,
"R31, R33",0805,2,0R,
R42,0603,1,1k,
R46,0603,1,470R,
R47,0603,1,390R,
R48,0603,1,270R,
"R50, R51",0603,2,470k,
R52,0603,1,1k5,
SW1,SW_SPDT_ALPS_SSSS811101_SMT_Horizontal,1,SW_PWR,C109335
SW2,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010_Custom3D,1,SW_MFB,C110293
U1,Module_RF_Ebyte_E73-2G4M08S1C_Castellated,1,E73-2G4M08S1C,C356849
U2,SOT-666,1,USBLC6-2P6,C15999
U3,Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm,1,BQ25186,C44639442
U4,SOT-23-6,1,TPS22950,C7587833
U5,Texas_VSON-HR-8_1.5x2mm_P0.5mm,1,TPS62840DLC,C2071859
U6,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSL,C126672
U7,LGA-12_2x2mm_P0.5mm,1,LIS2MDL,C919695
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C32346
